"Time","GPU 3","GPU 2","GPU 0","GPU 1","GPU 2","GPU 0","GPU 3","GPU 1","GPU 3","GPU 0","GPU 1","GPU 2"
1710339860000,0,0,0,0,0,0,0,0,0,0,0,0
1710339865000,0,0,0,0,0,0,0,0,0,0,0,0
1710339870000,0,0,0,0,0,0,0,0,0,0,0,0
1710339875000,0,0,0,0,0,0,0,0,0,0,0,0
1710339880000,0,0,0,0,0,0,0,0,0,0,0,0
1710339885000,0,0,0,0,0,0,0,0,0,0,0,0
1710339890000,0,0,0,0,0,0,0,0,0,0,0,0
1710339895000,0,0,0,0,0,0,0,0,0,0,0,0
1710339900000,0,0,0,0,0,0,0,0,0,0,0,0
1710339905000,0,0,0,0,0,0,0,0,0,0,0,0
1710339910000,0,0,0,0,821,797,797,821,0,0,0,0
1710339915000,799,823,799,823,821,797,797,821,0,0,0,0
1710339920000,799,823,799,823,821,797,797,821,0,0,0,0
1710339925000,799,823,799,823,821,797,797,821,0,0,0,0
1710339930000,799,823,799,823,821,797,797,821,0,0,0,0
1710339935000,799,823,799,823,821,797,797,821,796,796,820,820
1710339940000,799,823,799,823,823,799,799,823,796,796,820,820
1710339945000,799,823,799,823,823,799,799,823,796,796,820,820
1710339950000,799,823,799,823,823,799,799,823,796,796,820,820
1710339955000,799,823,799,823,823,799,799,823,796,796,820,820
1710339960000,799,823,799,823,823,799,799,823,796,796,820,820
1710339965000,799,823,799,823,823,799,799,823,796,796,820,820
1710339970000,799,823,799,823,823,799,799,823,796,796,820,820
1710339975000,799,823,799,823,823,799,799,823,796,796,820,820
1710339980000,799,823,799,823,823,799,799,823,796,796,820,820
1710339985000,799,823,799,823,823,799,799,823,796,796,820,820

