"Time","GPU 3","GPU 2","GPU 0","GPU 1","GPU 2","GPU 0","GPU 3","GPU 1","GPU 3","GPU 0","GPU 1","GPU 2"
1710339860000,31.037,30.017,30.537,31.016,31.558,31.057,32.037,31.578,32.473,30.996,31.496,30.996
1710339865000,31.037,30.017,30.537,31.016,31.558,31.057,32.037,31.578,32.473,30.996,31.496,30.996
1710339870000,31.037,30.017,30.537,31.016,31.558,31.057,32.037,31.578,32.473,30.996,31.496,30.996
1710339875000,31.037,30.017,30.537,31.016,31.558,31.057,32.037,31.578,32.473,30.996,31.496,30.996
1710339880000,31.037,30.017,30.537,31.016,31.558,31.057,32.037,31.578,32.473,30.996,31.496,30.996
1710339885000,31.037,30.517,30.537,31.037,31.558,31.057,32.037,31.578,32.473,30.996,31.496,30.996
1710339890000,31.037,30.517,30.537,31.037,31.558,31.057,32.037,31.578,32.473,30.996,31.496,30.996
1710339895000,31.037,30.517,30.537,31.037,31.558,31.057,32.037,31.578,32.473,30.996,31.496,30.996
1710339900000,31.037,30.517,30.537,31.037,31.558,31.057,32.037,31.578,32.473,30.996,31.496,30.996
1710339905000,31.037,30.517,30.537,31.037,31.558,31.057,32.037,31.578,32.473,30.996,31.496,30.996
1710339910000,31.037,30.517,30.537,31.037,49.967,50.466,52.43,50.999,32.473,30.996,31.496,30.996
1710339915000,49.934,50.433,49.934,52.43,49.967,50.466,52.43,50.999,32.473,30.996,31.496,30.996
1710339920000,49.934,50.433,49.934,52.43,49.967,50.466,52.43,50.999,32.473,30.996,31.496,30.996
1710339925000,49.934,50.433,49.934,52.43,49.967,50.466,52.43,50.999,32.473,30.996,31.496,30.996
1710339930000,49.934,50.433,49.934,52.43,49.967,50.466,52.43,50.999,32.473,30.996,31.496,30.996
1710339935000,49.934,50.433,49.934,52.43,49.967,50.466,52.43,50.999,53.323,50.4,51.364,51.862
1710339940000,49.934,50.433,49.934,52.43,49.934,50.466,52.395,50.499,53.323,50.4,51.364,51.862
1710339945000,49.934,51.398,50.932,52.929,49.934,50.466,52.395,50.499,53.323,50.4,51.364,51.862
1710339950000,49.934,51.398,50.932,52.929,49.934,50.466,52.395,50.499,53.323,50.4,51.364,51.862
1710339955000,49.934,51.398,50.932,52.929,49.934,50.466,52.395,50.499,53.323,50.4,51.364,51.862
1710339960000,49.934,51.398,50.932,52.929,49.934,50.466,52.395,50.499,53.323,50.4,51.364,51.862
1710339965000,49.934,51.398,50.932,52.929,49.934,50.466,52.395,50.499,54.319,50.4,51.862,52.86
1710339970000,49.934,51.398,50.932,52.929,50.433,50.932,51.931,50.466,54.319,50.4,51.862,52.86
1710339975000,50.433,48.436,47.438,49.435,50.433,50.932,51.931,50.466,54.319,50.4,51.862,52.86
1710339980000,50.433,48.436,47.438,49.435,50.433,50.932,51.931,50.466,54.319,50.4,51.862,52.86
1710339985000,50.433,48.436,47.438,49.435,50.433,50.932,51.931,50.466,54.319,50.4,51.862,52.86

