"Time","GPU 3","GPU 2","GPU 0","GPU 1","GPU 2","GPU 0","GPU 3","GPU 1","GPU 3","GPU 0","GPU 1","GPU 2"
1710339860000,31,28,32,30,31,32,30,27,41,35,34,36
1710339865000,31,28,32,30,31,32,30,27,41,35,34,36
1710339870000,31,28,32,30,31,32,30,27,41,35,34,36
1710339875000,31,28,32,30,31,32,30,27,41,35,34,35
1710339880000,31,28,32,30,31,32,30,27,41,35,34,35
1710339885000,31,28,32,30,31,32,30,27,41,35,34,35
1710339890000,31,28,32,30,31,32,30,27,41,35,34,35
1710339895000,31,28,32,30,31,32,30,27,41,35,34,35
1710339900000,31,28,32,30,31,32,30,27,41,35,34,35
1710339905000,31,28,32,30,31,32,30,27,41,35,34,36
1710339910000,31,28,32,30,32,32,30,28,41,35,34,36
1710339915000,32,30,34,31,32,32,30,28,41,35,34,36
1710339920000,32,30,34,31,32,32,30,28,41,35,34,36
1710339925000,32,30,34,31,32,32,30,28,41,35,34,36
1710339930000,32,30,34,31,32,32,30,28,41,35,34,36
1710339935000,32,30,34,31,32,32,30,28,44,37,35,37
1710339940000,32,30,34,31,34,34,32,30,44,37,35,37
1710339945000,34,31,34,32,34,34,32,30,44,37,35,37
1710339950000,34,31,34,32,34,34,32,30,44,37,35,37
1710339955000,34,31,34,32,34,34,32,30,44,37,35,37
1710339960000,34,31,34,32,34,34,32,30,44,37,35,37
1710339965000,34,31,34,32,34,34,32,30,45,38,36,38
1710339970000,34,31,34,32,34,35,33,30,45,38,36,38
1710339975000,34,31,35,33,34,35,33,30,45,38,36,38
1710339980000,34,31,35,33,34,35,33,30,45,38,36,38
1710339985000,34,31,35,33,34,35,33,30,45,38,36,38

