"Time","GPU 3","GPU 2","GPU 0","GPU 1","GPU 2","GPU 0","GPU 3","GPU 1","GPU 3","GPU 0","GPU 1","GPU 2"
1710339860000,0,0,0,0,0,0,0,0,0,0,0,0
1710339865000,0,0,0,0,0,0,0,0,0,0,0,0
1710339870000,0,0,0,0,0,0,0,0,0,0,0,0
1710339875000,0,0,0,0,0,0,0,0,0,0,0,0
1710339880000,0,0,0,0,0,0,0,0,0,0,0,0
1710339885000,0,0,0,0,0,0,0,0,0,0,0,0
1710339890000,0,0,0,0,0,0,0,0,0,0,0,0
1710339895000,0,0,0,0,0,0,0,0,0,0,0,0
1710339900000,0,0,0,0,0,0,0,0,0,0,0,0
1710339905000,0,0,0,0,0,0,0,0,0,0,0,0
1710339910000,0,0,0,0,98,84,98,98,0,0,0,0
1710339915000,97,98,93,55,98,84,98,98,0,0,0,0
1710339920000,97,98,93,55,98,84,98,98,0,0,0,0
1710339925000,97,98,93,55,98,84,98,98,0,0,0,0
1710339930000,97,98,93,55,98,84,98,98,0,0,0,0
1710339935000,97,98,93,55,98,84,98,98,98,98,98,98
1710339940000,97,98,93,55,90,98,98,74,98,98,98,98
1710339945000,98,97,98,98,90,98,98,74,98,98,98,98
1710339950000,98,97,98,98,90,98,98,74,98,98,98,98
1710339955000,98,97,98,98,90,98,98,74,98,98,98,98
1710339960000,98,97,98,98,90,98,98,74,98,98,98,98
1710339965000,98,97,98,98,90,98,98,74,98,98,98,98
1710339970000,98,97,98,98,98,98,87,99,98,98,98,98
1710339975000,83,97,98,99,98,98,87,99,98,98,98,98
1710339980000,83,97,98,99,98,98,87,99,98,98,98,98
1710339985000,83,97,98,99,98,98,87,99,98,98,98,98

