"Time","GPU 3","GPU 2","GPU 0","GPU 1","GPU 2","GPU 0","GPU 3","GPU 1","GPU 3","GPU 0","GPU 1","GPU 2"
1710344955000,0,0,0,0,0,0,0,0,0,0,0,0
1710344960000,0,0,0,0,0,0,0,0,0,0,0,0
1710344965000,0,0,0,0,0,0,0,0,0,0,0,0
1710344970000,0,0,0,0,0,0,0,0,0,0,0,0
1710344975000,0,0,0,0,0,0,0,0,0,0,0,0
1710344980000,0,0,0,0,0,0,0,0,0,0,0,0
1710344985000,0,0,0,0,0,0,0,0,0,0,0,0
1710344990000,0,0,0,0,0,0,0,0,0,0,0,0
1710344995000,0,0,0,0,0,0,0,0,0,0,0,0
1710345000000,0,0,0,0,0,0,0,0,0,0,0,0
1710345005000,0,0,0,0,0,0,0,0,794,794,816,818
1710345010000,0,0,0,0,823,799,799,823,794,794,816,818
1710345015000,799,823,799,823,823,799,799,823,794,794,816,818
1710345020000,799,823,799,823,823,799,799,823,794,794,816,818
1710345025000,799,823,799,823,823,799,799,823,794,794,816,818
1710345030000,799,823,799,823,823,799,799,823,794,794,816,818
1710345035000,799,823,799,823,823,799,799,823,796,796,820,820
1710345040000,799,823,799,823,823,799,799,823,796,796,820,820
1710345045000,799,823,799,823,823,799,799,823,796,796,820,820
1710345050000,799,823,799,823,823,799,799,823,796,796,820,820
1710345055000,799,823,799,823,823,799,799,823,796,796,820,820
1710345060000,799,823,799,823,823,799,799,823,796,796,820,820

