"Time","GPU 3","GPU 2","GPU 0","GPU 1","GPU 2","GPU 0","GPU 3","GPU 1","GPU 3","GPU 0","GPU 1","GPU 2"
1710344955000,31.016,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,31.016,31.496,30.996
1710344960000,31.016,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,31.016,31.496,30.996
1710344965000,31.016,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,31.016,31.496,30.996
1710344970000,31.016,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,31.016,31.496,30.996
1710344975000,31.016,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710344980000,31.016,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710344985000,31.037,30.517,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710344990000,31.037,30.517,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710344995000,31.037,30.517,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710345000000,31.037,30.517,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710345005000,31.037,30.517,30.537,31.016,31.558,31.558,32.037,31.578,43.387,40.948,41.946,42.945
1710345010000,31.037,30.517,30.537,31.016,48.468,48.5,49.467,48.532,43.387,40.948,41.946,42.945
1710345015000,50.932,49.934,50.433,51.931,48.468,48.5,49.467,48.532,43.387,40.948,41.946,42.945
1710345020000,50.932,49.934,50.433,51.931,48.468,48.5,49.467,48.532,43.387,40.948,41.946,42.945
1710345025000,50.932,49.934,50.433,51.931,48.468,48.5,49.467,48.532,43.387,40.948,41.946,42.945
1710345030000,50.932,49.934,50.433,51.931,48.468,48.5,49.467,48.532,43.387,40.948,41.946,42.945
1710345035000,50.932,49.934,50.433,51.931,48.468,48.5,49.467,48.532,53.786,49.901,51.862,52.361
1710345040000,50.932,49.934,50.433,51.931,51.465,51.965,51.431,52.499,53.786,49.901,51.862,52.361
1710345045000,50.433,49.934,51.431,51.431,51.465,51.965,51.431,52.499,53.786,49.901,51.862,52.361
1710345050000,50.433,49.934,51.431,51.431,51.465,51.965,51.431,52.499,53.786,49.901,51.862,52.361
1710345055000,50.433,49.934,51.431,51.431,51.465,51.965,51.431,52.499,53.786,49.901,51.862,52.361
1710345060000,50.433,49.934,51.431,51.431,51.465,51.965,51.431,52.499,53.786,49.901,51.862,52.361

