"Time","GPU 3","GPU 2","GPU 0","GPU 1","GPU 2","GPU 0","GPU 3","GPU 1","GPU 3","GPU 0","GPU 1","GPU 2"
1710344955000,31,28,32,30,31,32,30,28,41,35,34,36
1710344960000,31,28,32,30,31,32,30,28,41,35,34,36
1710344965000,31,28,32,30,31,32,30,28,41,35,34,36
1710344970000,31,28,32,30,31,32,30,28,41,35,34,36
1710344975000,31,28,32,30,31,32,30,28,41,35,34,36
1710344980000,31,28,32,30,32,32,30,27,41,35,34,36
1710344985000,31,28,32,30,32,32,30,27,41,35,34,36
1710344990000,31,28,32,30,32,32,30,27,41,35,34,36
1710344995000,31,28,32,30,32,32,30,27,41,35,34,36
1710345000000,31,28,32,30,32,32,30,27,41,35,34,36
1710345005000,31,28,32,30,32,32,30,27,42,36,34,36
1710345010000,31,28,32,30,33,33,31,29,42,36,34,36
1710345015000,33,30,34,32,33,33,31,29,42,36,34,36
1710345020000,33,30,34,32,33,33,31,29,42,36,34,36
1710345025000,33,30,34,32,33,33,31,29,42,36,34,36
1710345030000,33,30,34,32,33,33,31,29,42,36,34,36
1710345035000,33,30,34,32,33,33,31,29,44,38,36,38
1710345040000,33,30,34,32,34,34,32,30,44,38,36,38
1710345045000,34,31,35,32,34,34,32,30,44,38,36,38
1710345050000,34,31,35,32,34,34,32,30,44,38,36,38
1710345055000,34,31,35,32,34,34,32,30,44,38,36,38
1710345060000,34,31,35,32,34,34,32,30,44,38,36,38

