"Time","GPU 3","GPU 2","GPU 0","GPU 1","GPU 2","GPU 0","GPU 3","GPU 1","GPU 3","GPU 0","GPU 1","GPU 2"
1710344955000,0,0,0,0,0,0,0,0,0,0,0,0
1710344960000,0,0,0,0,0,0,0,0,0,0,0,0
1710344965000,0,0,0,0,0,0,0,0,0,0,0,0
1710344970000,0,0,0,0,0,0,0,0,0,0,0,0
1710344975000,0,0,0,0,0,0,0,0,0,0,0,0
1710344980000,0,0,0,0,0,0,0,0,0,0,0,0
1710344985000,0,0,0,0,0,0,0,0,0,0,0,0
1710344990000,0,0,0,0,0,0,0,0,0,0,0,0
1710344995000,0,0,0,0,0,0,0,0,0,0,0,0
1710345000000,0,0,0,0,0,0,0,0,0,0,0,0
1710345005000,0,0,0,0,0,0,0,0,26,17,13,39
1710345010000,0,0,0,0,5,6,5,5,26,17,13,39
1710345015000,97,97,97,85,5,6,5,5,26,17,13,39
1710345020000,97,97,97,85,5,6,5,5,26,17,13,39
1710345025000,97,97,97,85,5,6,5,5,26,17,13,39
1710345030000,97,97,97,85,5,6,5,5,26,17,13,39
1710345035000,97,97,97,85,5,6,5,5,98,98,98,98
1710345040000,97,97,97,85,98,98,98,98,98,98,98,98
1710345045000,93,97,97,62,98,98,98,98,98,98,98,98
1710345050000,93,97,97,62,98,98,98,98,98,98,98,98
1710345055000,93,97,97,62,98,98,98,98,98,98,98,98
1710345060000,93,97,97,62,98,98,98,98,98,98,98,98

