"Time","sda_写入"
1710344955000,2161205.638095238
1710344960000,2161205.638095238
1710344965000,2161205.638095238
1710344970000,2101326.019047619
1710344975000,2101326.019047619
1710344980000,2101326.019047619
1710344985000,29756581.790476188
1710344990000,29756581.790476188
1710344995000,29756581.790476188
1710345000000,65526676.72380952
1710345005000,65526676.72380952
1710345010000,65526676.72380952
1710345015000,98004913.98095237
1710345020000,98004913.98095237
1710345025000,98004913.98095237
1710345030000,129744388.87619047
1710345035000,129744388.87619047
1710345040000,129744388.87619047
1710345045000,161674386.28571427
1710345050000,161674386.28571427
1710345055000,161674386.28571427
1710345060000,192583894.55238095

