"Time","GPU 3","GPU 2","GPU 0","GPU 1","GPU 2","GPU 0","GPU 3","GPU 1","GPU 3","GPU 0","GPU 1","GPU 2"
1710341190000,0,0,0,0,0,0,0,0,0,0,0,0
1710341195000,0,0,0,0,0,0,0,0,0,0,0,0
1710341200000,0,0,0,0,0,0,0,0,0,0,0,0
1710341205000,0,0,0,0,0,0,0,0,0,0,0,0
1710341210000,0,0,0,0,0,0,0,0,0,0,0,0
1710341215000,0,0,0,0,0,0,0,0,0,0,0,0
1710341220000,0,0,0,0,0,0,0,0,0,0,0,0
1710341225000,0,0,0,0,0,0,0,0,0,0,0,0
1710341230000,0,0,0,0,0,0,0,0,0,0,0,0
1710341235000,797,821,797,821,0,0,0,0,0,0,0,0
1710341240000,797,821,797,821,0,0,0,0,0,0,0,0
1710341245000,797,821,797,821,0,0,0,0,0,0,0,0
1710341250000,797,821,797,821,0,0,0,0,0,0,0,0
1710341255000,797,821,797,821,0,0,0,0,796,796,820,820
1710341260000,797,821,797,821,14434,799,799,823,796,796,820,820
1710341265000,799,823,799,823,14434,799,799,823,796,796,820,820
1710341270000,799,823,799,823,14434,799,799,823,796,796,820,820
1710341275000,799,823,799,823,14434,799,799,823,796,796,820,820
1710341280000,799,823,799,823,14434,799,799,823,796,796,820,820
1710341285000,799,823,799,823,14434,799,799,823,796,796,820,820
1710341290000,799,823,799,823,14434,799,799,823,796,796,820,820
1710341295000,799,823,799,823,14434,799,799,823,796,796,820,820
1710341300000,799,823,799,823,14434,799,799,823,796,796,820,820
1710341305000,799,823,799,823,14434,799,799,823,796,796,820,820
1710341310000,799,823,799,823,14434,799,799,823,796,796,820,820
1710341315000,799,823,799,823,14434,799,799,823,796,796,820,820
1710341320000,799,823,799,823,14434,799,799,823,796,796,820,820

