"Time","GPU 3","GPU 2","GPU 0","GPU 1","GPU 2","GPU 0","GPU 3","GPU 1","GPU 3","GPU 0","GPU 1","GPU 2"
1710341190000,31.037,30.517,30.537,31.016,31.558,31.558,32.037,31.578,32.473,31.016,31.496,31.016
1710341195000,31.037,30.517,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710341200000,31.037,30.517,30.537,31.016,31.558,31.057,32.037,31.578,32.473,30.996,31.496,30.996
1710341205000,31.016,30.517,30.537,31.037,31.558,31.057,32.037,31.578,32.473,30.996,31.496,30.996
1710341210000,31.016,30.517,30.537,31.037,31.558,31.057,32.037,31.578,32.473,30.996,31.496,30.996
1710341215000,31.016,30.517,30.537,31.037,31.558,31.057,32.037,31.578,32.473,30.996,31.496,30.996
1710341220000,31.016,30.517,30.537,31.037,31.558,31.057,32.037,31.578,32.473,30.996,31.496,30.996
1710341225000,31.016,30.517,30.537,31.037,31.558,31.057,32.037,31.578,32.473,30.996,31.496,30.996
1710341230000,31.016,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710341235000,31.016,48.935,49.435,50.433,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710341240000,31.016,48.935,49.435,50.433,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710341245000,31.016,48.935,49.435,50.433,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710341250000,31.016,48.935,49.435,50.433,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710341255000,31.016,48.935,49.435,50.433,31.558,31.558,32.037,31.578,52.825,49.901,50.865,51.364
1710341260000,31.016,48.935,49.435,50.433,177.944,50.4,52.395,51.965,52.825,49.901,50.865,51.364
1710341265000,47.937,49.402,49.934,51.431,177.944,50.4,52.395,51.965,52.825,49.901,50.865,51.364
1710341270000,47.937,49.402,49.934,51.431,177.944,50.4,52.395,51.965,52.825,49.901,50.865,51.364
1710341275000,47.937,49.402,49.934,51.431,177.944,50.4,52.395,51.965,52.825,49.901,50.865,51.364
1710341280000,47.937,49.402,49.934,51.431,177.944,50.4,52.395,51.965,52.825,49.901,50.865,51.364
1710341285000,47.937,49.402,49.934,51.431,177.944,50.4,52.395,51.965,53.821,50.4,51.364,51.862
1710341290000,47.937,49.402,49.934,51.431,293.821,49.37,50.334,49.402,53.821,50.4,51.364,51.862
1710341295000,50.433,49.901,49.435,50.932,293.821,49.37,50.334,49.402,53.821,50.4,51.364,51.862
1710341300000,50.433,49.901,49.435,50.932,293.821,49.37,50.334,49.402,53.821,50.4,51.364,51.862
1710341305000,50.433,49.901,49.435,50.932,293.821,49.37,50.334,49.402,53.821,50.4,51.364,51.862
1710341310000,50.433,49.901,49.435,50.932,293.821,49.37,50.334,49.402,53.821,50.4,51.364,51.862
1710341315000,50.433,49.901,49.435,50.932,293.821,49.37,50.334,49.402,53.821,50.4,51.364,51.897
1710341320000,50.433,49.901,49.435,50.932,187.863,51.431,53.358,51.465,53.821,50.4,51.364,51.897

