"Time","GPU 3","GPU 2","GPU 0","GPU 1","GPU 2","GPU 0","GPU 3","GPU 1","GPU 3","GPU 0","GPU 1","GPU 2"
1710341190000,31,28,32,30,31,32,29,27,41,35,34,36
1710341195000,31,28,32,30,31,32,29,27,41,35,34,36
1710341200000,31,28,32,30,31,31,30,27,41,35,34,36
1710341205000,31,28,32,30,31,31,30,27,41,35,34,36
1710341210000,31,28,32,30,31,31,30,27,41,35,34,36
1710341215000,31,28,32,30,31,31,30,27,41,35,34,36
1710341220000,31,28,32,30,31,31,30,27,41,35,34,36
1710341225000,31,28,32,30,31,31,30,27,41,35,34,35
1710341230000,31,28,32,30,32,31,30,27,41,35,34,35
1710341235000,32,29,33,31,32,31,30,27,41,35,34,35
1710341240000,32,29,33,31,32,31,30,27,41,35,34,35
1710341245000,32,29,33,31,32,31,30,27,41,35,34,35
1710341250000,32,29,33,31,32,31,30,27,41,35,34,35
1710341255000,32,29,33,31,32,31,30,27,43,37,35,37
1710341260000,32,29,33,31,45,33,32,29,43,37,35,37
1710341265000,33,31,34,32,45,33,32,29,43,37,35,37
1710341270000,33,31,34,32,45,33,32,29,43,37,35,37
1710341275000,33,31,34,32,45,33,32,29,43,37,35,37
1710341280000,33,31,34,32,45,33,32,29,43,37,35,37
1710341285000,33,31,34,32,45,33,32,29,44,38,36,38
1710341290000,33,31,34,32,55,34,34,30,44,38,36,38
1710341295000,34,31,35,32,55,34,34,30,44,38,36,38
1710341300000,34,31,35,32,55,34,34,30,44,38,36,38
1710341305000,34,31,35,32,55,34,34,30,44,38,36,38
1710341310000,34,31,35,32,55,34,34,30,44,38,36,38
1710341315000,34,31,35,32,55,34,34,30,45,39,37,38
1710341320000,34,31,35,32,59,35,36,30,45,39,37,38

