"Time","GPU 3","GPU 2","GPU 0","GPU 1","GPU 2","GPU 0","GPU 3","GPU 1","GPU 3","GPU 0","GPU 1","GPU 2"
1710341190000,0,0,0,0,0,0,0,0,0,0,0,0
1710341195000,0,0,0,0,0,0,0,0,0,0,0,0
1710341200000,0,0,0,0,0,0,0,0,0,0,0,0
1710341205000,0,0,0,0,0,0,0,0,0,0,0,0
1710341210000,0,0,0,0,0,0,0,0,0,0,0,0
1710341215000,0,0,0,0,0,0,0,0,0,0,0,0
1710341220000,0,0,0,0,0,0,0,0,0,0,0,0
1710341225000,0,0,0,0,0,0,0,0,0,0,0,0
1710341230000,0,0,0,0,0,0,0,0,0,0,0,0
1710341235000,98,98,98,98,0,0,0,0,0,0,0,0
1710341240000,98,98,98,98,0,0,0,0,0,0,0,0
1710341245000,98,98,98,98,0,0,0,0,0,0,0,0
1710341250000,98,98,98,98,0,0,0,0,0,0,0,0
1710341255000,98,98,98,98,0,0,0,0,99,98,98,98
1710341260000,98,98,98,98,98,98,98,98,99,98,98,98
1710341265000,98,98,98,98,98,98,98,98,99,98,98,98
1710341270000,98,98,98,98,98,98,98,98,99,98,98,98
1710341275000,98,98,98,98,98,98,98,98,99,98,98,98
1710341280000,98,98,98,98,98,98,98,98,99,98,98,98
1710341285000,98,98,98,98,98,98,98,98,98,98,98,98
1710341290000,98,98,98,98,100,5,6,6,98,98,98,98
1710341295000,98,98,98,98,100,5,6,6,98,98,98,98
1710341300000,98,98,98,98,100,5,6,6,98,98,98,98
1710341305000,98,98,98,98,100,5,6,6,98,98,98,98
1710341310000,98,98,98,98,100,5,6,6,98,98,98,98
1710341315000,98,98,98,98,100,5,6,6,98,98,98,98
1710341320000,98,98,98,98,98,97,98,98,98,98,98,98

