"Time","sda_写入"
1710341190000,132154.51428571428
1710341195000,132154.51428571428
1710341200000,132154.51428571428
1710341205000,142023.9238095238
1710341210000,142023.9238095238
1710341215000,142023.9238095238
1710341220000,208340.11428571425
1710341225000,208340.11428571425
1710341230000,208340.11428571425
1710341235000,208574.1714285714
1710341240000,208574.1714285714
1710341245000,208574.1714285714
1710341250000,208486.4
1710341255000,208486.4
1710341260000,208486.4
1710341265000,188294.0952380952
1710341270000,188294.0952380952
1710341275000,188294.0952380952
1710341280000,184276.11428571425
1710341285000,184276.11428571425
1710341290000,184276.11428571425
1710341295000,205170.59047619047
1710341300000,205170.59047619047
1710341305000,205170.59047619047
1710341310000,205326.62857142856
1710341315000,205326.62857142856
1710341320000,205326.62857142856

