"Time","GPU 3","GPU 2","GPU 0","GPU 1","GPU 2","GPU 0","GPU 3","GPU 1","GPU 3","GPU 0","GPU 1","GPU 2"
1710343660000,0,0,0,0,0,0,0,0,0,0,0,0
1710343665000,0,0,0,0,0,0,0,0,0,0,0,0
1710343670000,0,0,0,0,0,0,0,0,0,0,0,0
1710343675000,0,0,0,0,0,0,0,0,0,0,0,0
1710343680000,0,0,0,0,0,0,0,0,0,0,0,0
1710343685000,0,0,0,0,0,0,0,0,0,0,0,0
1710343690000,0,0,0,0,0,0,0,0,0,0,0,0
1710343695000,0,0,0,0,0,0,0,0,0,0,0,0
1710343700000,0,0,0,0,0,0,0,0,0,0,0,0
1710343705000,0,0,0,0,0,0,0,0,0,0,0,0
1710343710000,0,0,0,0,0,0,0,0,0,0,0,0
1710343715000,0,0,0,0,0,0,0,0,794,794,818,818
1710343720000,0,0,0,0,823,799,799,823,794,794,818,818
1710343725000,799,823,799,823,823,799,799,823,794,794,818,818
1710343730000,799,823,799,823,823,799,799,823,794,794,818,818
1710343735000,799,823,799,823,823,799,799,823,794,794,818,818
1710343740000,799,823,799,823,823,799,799,823,794,794,818,818
1710343745000,799,823,799,823,undefined,undefined,undefined,undefined,796,796,820,820
1710343750000,799,823,799,823,undefined,undefined,undefined,undefined,796,796,820,820
1710343755000,799,823,799,823,823,799,799,823,796,796,820,820
1710343760000,799,823,799,823,823,799,799,823,796,796,820,820
1710343765000,799,823,799,823,823,799,799,823,796,796,820,820

