"Time","GPU 3","GPU 2","GPU 0","GPU 1","GPU 2","GPU 0","GPU 3","GPU 1","GPU 3","GPU 0","GPU 1","GPU 2"
1710343660000,31.016,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710343665000,31.016,30.017,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710343670000,31.016,30.017,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710343675000,31.016,30.017,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710343680000,31.016,30.017,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710343685000,31.016,30.017,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710343690000,31.016,30.017,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710343695000,31.037,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710343700000,31.037,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710343705000,31.037,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710343710000,31.037,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710343715000,31.037,30.517,30.537,31.037,31.558,31.558,32.037,31.578,52.825,49.901,51.897,51.897
1710343720000,31.037,30.517,30.537,31.037,51.465,51.965,52.464,52.499,52.825,49.901,51.897,51.897
1710343725000,49.934,50.932,51.931,52.43,51.465,51.965,52.464,52.499,52.825,49.901,51.897,51.897
1710343730000,49.934,50.932,51.931,52.43,51.465,51.965,52.464,52.499,52.825,49.901,51.897,51.897
1710343735000,49.934,50.932,51.931,52.43,51.465,51.965,52.464,52.499,52.825,49.901,51.897,51.897
1710343740000,49.934,50.932,51.931,52.43,51.465,51.965,52.464,52.499,52.825,49.901,51.897,51.897
1710343745000,49.934,50.932,51.931,52.43,undefined,undefined,undefined,undefined,54.284,51.364,52.86,52.86
1710343750000,49.934,50.932,51.931,52.43,undefined,undefined,undefined,undefined,54.284,51.364,52.86,52.86
1710343755000,51.897,47.937,47.937,48.935,51.965,52.464,52.929,52.464,54.284,51.364,52.86,52.86
1710343760000,51.897,47.937,47.937,48.935,51.965,52.464,52.929,52.464,54.284,51.364,52.86,52.86
1710343765000,51.897,47.937,47.937,48.935,51.965,52.464,52.929,52.464,54.284,51.364,52.86,52.86

