"Time","GPU 3","GPU 2","GPU 0","GPU 1","GPU 2","GPU 0","GPU 3","GPU 1","GPU 3","GPU 0","GPU 1","GPU 2"
1710343660000,31,29,32,30,31,32,30,28,41,35,34,36
1710343665000,31,28,32,30,31,32,30,28,41,35,34,36
1710343670000,31,28,32,30,31,32,30,28,41,35,34,36
1710343675000,31,28,32,30,31,32,30,28,41,35,34,36
1710343680000,31,28,32,30,31,32,30,28,41,35,34,36
1710343685000,31,28,32,30,31,32,30,28,41,35,34,36
1710343690000,31,28,32,30,32,32,30,27,41,35,34,36
1710343695000,31,28,32,30,32,32,30,27,41,35,34,36
1710343700000,31,28,32,30,32,32,30,27,41,35,34,36
1710343705000,31,28,32,30,32,32,30,27,41,35,34,36
1710343710000,31,28,32,30,32,32,30,27,41,35,34,36
1710343715000,31,28,32,30,32,32,30,27,43,36,35,37
1710343720000,31,28,32,30,33,33,31,29,43,36,35,37
1710343725000,33,31,34,32,33,33,31,29,43,36,35,37
1710343730000,33,31,34,32,33,33,31,29,43,36,35,37
1710343735000,33,31,34,32,33,33,31,29,43,36,35,37
1710343740000,33,31,34,32,33,33,31,29,43,36,35,37
1710343745000,33,31,34,32,undefined,undefined,undefined,undefined,44,38,36,38
1710343750000,33,31,34,32,undefined,undefined,undefined,undefined,44,38,36,38
1710343755000,34,32,35,32,34,34,33,30,44,38,36,38
1710343760000,34,32,35,32,34,34,33,30,44,38,36,38
1710343765000,34,32,35,32,34,34,33,30,44,38,36,38

