"Time","GPU 3","GPU 2","GPU 0","GPU 1","GPU 2","GPU 0","GPU 3","GPU 1","GPU 3","GPU 0","GPU 1","GPU 2"
1710343660000,0,0,0,0,0,0,0,0,0,0,0,0
1710343665000,0,0,0,0,0,0,0,0,0,0,0,0
1710343670000,0,0,0,0,0,0,0,0,0,0,0,0
1710343675000,0,0,0,0,0,0,0,0,0,0,0,0
1710343680000,0,0,0,0,0,0,0,0,0,0,0,0
1710343685000,0,0,0,0,0,0,0,0,0,0,0,0
1710343690000,0,0,0,0,0,0,0,0,0,0,0,0
1710343695000,0,0,0,0,0,0,0,0,0,0,0,0
1710343700000,0,0,0,0,0,0,0,0,0,0,0,0
1710343705000,0,0,0,0,0,0,0,0,0,0,0,0
1710343710000,0,0,0,0,0,0,0,0,0,0,0,0
1710343715000,0,0,0,0,0,0,0,0,98,97,98,98
1710343720000,0,0,0,0,97,95,98,98,98,97,98,98
1710343725000,96,96,97,94,97,95,98,98,98,97,98,98
1710343730000,96,96,97,94,97,95,98,98,98,97,98,98
1710343735000,96,96,97,94,97,95,98,98,98,97,98,98
1710343740000,96,96,97,94,97,95,98,98,98,97,98,98
1710343745000,96,96,97,94,undefined,undefined,undefined,undefined,98,96,98,98
1710343750000,96,96,97,94,undefined,undefined,undefined,undefined,98,96,98,98
1710343755000,4,5,5,5,97,97,97,97,98,96,98,98
1710343760000,4,5,5,5,97,97,97,97,98,96,98,98
1710343765000,4,5,5,5,97,97,97,97,98,96,98,98

