"Time","sda_写入"
1710343660000,2204974.3238095236
1710343665000,2193427.5047619045
1710343670000,2193427.5047619045
1710343675000,2193427.5047619045
1710343680000,2201814.552380952
1710343685000,2201814.552380952
1710343690000,2201814.552380952
1710343695000,2024902.757262222
1710343700000,1931246.5794844443
1710343705000,1837590.4017066665
1710343710000,2207978.057142857
1710343715000,2207978.057142857
1710343720000,2207978.057142857
1710343725000,2212230.095238095
1710343730000,2212230.095238095
1710343735000,2212230.095238095
1710343740000,2111260.444444444
1710343745000,1840368.1355851854
1710343750000,1752398.9504
1710343755000,1683634.904177778
1710343760000,1595002.015288889
1710343765000,1506369.1264

