"Time","GPU 3","GPU 2","GPU 0","GPU 1","GPU 2","GPU 0","GPU 3","GPU 1","GPU 3","GPU 0","GPU 1","GPU 2"
1710336475000,0,0,0,0,0,0,0,0,0,0,0,0
1710336480000,0,0,0,0,0,0,0,0,0,0,0,0
1710336485000,0,0,0,0,0,0,0,0,0,0,0,0
1710336490000,0,0,0,0,0,0,0,0,0,0,0,0
1710336495000,0,0,0,0,0,0,0,0,0,0,0,0
1710336500000,0,0,0,0,0,0,0,0,0,0,0,0
1710336505000,0,0,0,0,0,0,0,0,0,0,0,0
1710336510000,0,0,0,0,0,0,0,0,0,0,0,0
1710336515000,0,0,0,0,0,0,0,0,0,0,0,0
1710336520000,0,0,0,0,551,591,537,589,0,0,0,0
1710336525000,799,823,799,823,551,591,537,589,0,0,0,0
1710336530000,799,823,799,823,551,591,537,589,0,0,0,0
1710336535000,799,823,799,823,551,591,537,589,0,0,0,0
1710336540000,799,823,799,823,551,591,537,589,0,0,0,0
1710336545000,799,823,799,823,551,591,537,589,796,796,820,820
1710336550000,799,823,799,823,823,799,799,823,796,796,820,820
1710336555000,799,823,799,823,823,799,799,823,796,796,820,820
1710336560000,799,823,799,823,823,799,799,823,796,796,820,820
1710336565000,799,823,799,823,823,799,799,823,796,796,820,820
1710336570000,799,823,799,823,823,799,799,823,796,796,820,820
1710336575000,799,823,799,823,823,799,799,823,796,796,820,820

