"Time","GPU 3","GPU 2","GPU 0","GPU 1","GPU 2","GPU 0","GPU 3","GPU 1","GPU 3","GPU 0","GPU 1","GPU 2"
1710336475000,31.037,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710336480000,31.037,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710336485000,31.037,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710336490000,31.037,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710336495000,31.037,30.017,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710336500000,31.037,30.017,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710336505000,31.037,30.017,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710336510000,31.037,30.017,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710336515000,31.037,30.017,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996
1710336520000,31.037,30.017,30.537,31.016,40.514,41.502,42.001,42.029,32.473,30.996,31.496,30.996
1710336525000,49.934,49.402,50.433,51.931,40.514,41.502,42.001,42.029,32.473,30.996,31.496,30.996
1710336530000,49.934,49.402,50.433,51.931,40.514,41.502,42.001,42.029,32.473,30.996,31.496,30.996
1710336535000,49.934,49.402,50.433,51.931,40.514,41.502,42.001,42.029,32.473,30.996,31.496,30.996
1710336540000,49.934,49.402,50.433,51.931,40.514,41.502,42.001,42.029,32.473,30.996,31.496,30.996
1710336545000,49.934,49.402,50.433,51.931,40.514,41.502,42.001,42.029,54.818,51.364,52.86,52.86
1710336550000,49.934,49.402,50.433,51.931,50.466,51.965,52.929,51.999,54.818,51.364,52.86,52.86
1710336555000,51.931,50.932,50.932,52.43,50.466,51.965,52.929,51.999,54.818,51.364,52.86,52.86
1710336560000,51.931,50.932,50.932,52.43,50.466,51.965,52.929,51.999,54.818,51.364,52.86,52.86
1710336565000,51.931,50.932,50.932,52.43,50.466,51.965,52.929,51.999,54.818,51.364,52.86,52.86
1710336570000,51.931,50.932,50.932,52.43,50.466,51.965,52.929,51.999,54.818,51.364,52.86,52.86
1710336575000,51.931,50.932,50.932,52.43,50.466,51.965,52.929,51.999,53.786,50.4,51.398,52.361

