"Time","GPU 3","GPU 2","GPU 0","GPU 1","GPU 2","GPU 0","GPU 3","GPU 1","GPU 3","GPU 0","GPU 1","GPU 2"
1710336475000,31,28,32,30,31,31,30,27,41,35,34,36
1710336480000,31,28,32,30,31,31,30,27,41,35,34,36
1710336485000,31,28,32,30,31,31,30,27,41,35,34,36
1710336490000,31,28,32,30,31,31,30,27,41,35,34,36
1710336495000,31,29,32,30,31,31,30,27,41,35,34,36
1710336500000,31,29,32,30,31,31,30,27,41,35,34,36
1710336505000,31,29,32,30,31,31,30,27,41,35,34,36
1710336510000,31,29,32,30,31,31,30,27,41,35,34,36
1710336515000,31,29,32,30,31,31,30,27,41,35,34,36
1710336520000,31,29,32,30,32,32,30,28,41,35,34,36
1710336525000,32,30,34,31,32,32,30,28,41,35,34,36
1710336530000,32,30,34,31,32,32,30,28,41,35,34,36
1710336535000,32,30,34,31,32,32,30,28,41,35,34,36
1710336540000,32,30,34,31,32,32,30,28,41,35,34,36
1710336545000,32,30,34,31,32,32,30,28,44,37,36,38
1710336550000,32,30,34,31,33,34,32,30,44,37,36,38
1710336555000,33,31,35,32,33,34,32,30,44,37,36,38
1710336560000,33,31,35,32,33,34,32,30,44,37,36,38
1710336565000,33,31,35,32,33,34,32,30,44,37,36,38
1710336570000,33,31,35,32,33,34,32,30,44,37,36,38
1710336575000,33,31,35,32,33,34,32,30,45,38,36,38

