"Time","GPU 3","GPU 2","GPU 0","GPU 1","GPU 2","GPU 0","GPU 3","GPU 1","GPU 3","GPU 0","GPU 1","GPU 2"
1710336475000,0,0,0,0,0,0,0,0,0,0,0,0
1710336480000,0,0,0,0,0,0,0,0,0,0,0,0
1710336485000,0,0,0,0,0,0,0,0,0,0,0,0
1710336490000,0,0,0,0,0,0,0,0,0,0,0,0
1710336495000,0,0,0,0,0,0,0,0,0,0,0,0
1710336500000,0,0,0,0,0,0,0,0,0,0,0,0
1710336505000,0,0,0,0,0,0,0,0,0,0,0,0
1710336510000,0,0,0,0,0,0,0,0,0,0,0,0
1710336515000,0,0,0,0,0,0,0,0,0,0,0,0
1710336520000,0,0,0,0,3,4,3,4,0,0,0,0
1710336525000,98,98,97,98,3,4,3,4,0,0,0,0
1710336530000,98,98,97,98,3,4,3,4,0,0,0,0
1710336535000,98,98,97,98,3,4,3,4,0,0,0,0
1710336540000,98,98,97,98,3,4,3,4,0,0,0,0
1710336545000,98,98,97,98,3,4,3,4,97,97,97,97
1710336550000,98,98,97,98,97,97,97,97,97,97,97,97
1710336555000,60,98,97,98,97,97,97,97,97,97,97,97
1710336560000,60,98,97,98,97,97,97,97,97,97,97,97
1710336565000,60,98,97,98,97,97,97,97,97,97,97,97
1710336570000,60,98,97,98,97,97,97,97,97,97,97,97
1710336575000,60,98,97,98,97,97,97,97,98,98,98,98

